name,pokemonid,formid,formname,gen,release,type1,type2,species,height,weight,gender,catch_rate,base_exp,egg_cycles,friendship,growth_rate,hp,attack,defense,spatk,spdef,speed,ev_hp,ev_attack,ev_defense,ev_spatk,ev_spdef,ev_speed,group
weezing,weezing,,,1,red-blue,poison,,Poison Gas,1.2,9.5,4:4,60.0,172.0,20.0,50.0,medium fast,65,90,120,85,70,60,,,2.0,,,,sredniaki
weezing-galarian,weezing,galarian,Galarian Weezing,8,sword-shield,poison,fairy,Poison Gas,3.0,16.0,4:4,60.0,172.0,20.0,50.0,medium fast,65,90,120,85,70,60,,,2.0,,,,sredniaki
rhyhorn,rhyhorn,,,1,red-blue,ground,rock,Spikes,1.0,115.0,4:4,120.0,69.0,20.0,50.0,slow,80,85,95,30,30,25,,,1.0,,,,grubole
rhydon,rhydon,,,1,red-blue,ground,rock,Drill,1.9,120.0,4:4,60.0,170.0,20.0,50.0,slow,105,130,120,45,45,40,,2.0,,,,,grubole
chansey,chansey,,,1,red-blue,normal,,Egg,1.1,34.6,8:0,30.0,395.0,40.0,140.0,fast,250,5,5,35,105,50,2.0,,,,,,sredniaki
tangela,tangela,,,1,red-blue,grass,,Vine,1.0,35.0,4:4,45.0,87.0,20.0,50.0,medium fast,65,55,115,100,40,60,,,1.0,,,,sredniaki
kangaskhan,kangaskhan,,,1,red-blue,normal,,Parent,2.2,80.0,8:0,45.0,172.0,20.0,50.0,medium fast,105,95,80,40,80,90,2.0,,,,,,sredniaki
kangaskhan-mega,kangaskhan,mega,Mega Kangaskhan,6,x-y,normal,,Parent,2.2,100.0,8:0,45.0,207.0,20.0,50.0,medium fast,105,125,100,60,100,100,2.0,,,,,,sredniaki
horsea,horsea,,,1,red-blue,water,,Dragon,0.4,8.0,4:4,225.0,59.0,20.0,50.0,medium fast,30,40,70,70,25,60,,,,1.0,,,sredniaki
seadra,seadra,,,1,red-blue,water,,Dragon,1.2,25.0,4:4,75.0,154.0,20.0,50.0,medium fast,55,65,95,95,45,85,,,1.0,1.0,,,sredniaki
goldeen,goldeen,,,1,red-blue,water,,Goldfish,0.6,15.0,4:4,225.0,64.0,20.0,50.0,medium fast,45,67,60,35,50,63,,1.0,,,,,sredniaki
seaking,seaking,,,1,red-blue,water,,Goldfish,1.3,39.0,4:4,60.0,158.0,20.0,50.0,medium fast,80,92,65,65,80,68,,2.0,,,,,sredniaki
staryu,staryu,,,1,red-blue,water,,Star Shape,0.8,34.5,genderless,225.0,68.0,20.0,50.0,slow,30,45,55,70,55,85,,,,,,1.0,sredniaki
starmie,starmie,,,1,red-blue,water,psychic,Mysterious,1.1,80.0,genderless,60.0,182.0,20.0,50.0,slow,60,75,85,100,85,115,,,,,,2.0,sredniaki
mr-mime,mr-mime,,,1,red-blue,psychic,fairy,Barrier,1.3,54.5,4:4,45.0,161.0,25.0,50.0,medium fast,40,45,65,100,120,90,,,,,2.0,,specjalni
mr-mime-galarian,mr-mime,galarian,Galarian Mr. Mime,8,sword-shield,ice,psychic,Dancing,1.4,56.8,4:4,45.0,161.0,25.0,50.0,medium fast,50,65,65,90,90,100,,,,,,2.0,sredniaki
scyther,scyther,,,1,red-blue,bug,flying,Mantis,1.5,56.0,4:4,45.0,100.0,25.0,50.0,medium fast,70,110,80,55,80,105,,1.0,,,,,sredniaki
jynx,jynx,,,1,red-blue,ice,psychic,Human Shape,1.4,40.6,8:0,45.0,159.0,25.0,50.0,medium fast,65,50,35,115,95,95,,,,2.0,,,sredniaki
electabuzz,electabuzz,,,1,red-blue,electric,,Electric,1.1,30.0,2:6,45.0,172.0,25.0,50.0,medium fast,65,83,57,95,85,105,,,,,,2.0,specjalni
magmar,magmar,,,1,red-blue,fire,,Spitfire,1.3,44.5,2:6,45.0,173.0,25.0,50.0,medium fast,65,95,57,100,85,93,,,,2.0,,,specjalni
pinsir,pinsir,,,1,red-blue,bug,,Stag Beetle,1.5,55.0,4:4,45.0,175.0,25.0,50.0,slow,65,125,100,55,70,85,,2.0,,,,,sredniaki
pinsir-mega,pinsir,mega,Mega Pinsir,6,x-y,bug,flying,Stag Beetle,1.7,59.0,4:4,45.0,210.0,25.0,50.0,slow,65,155,120,65,90,105,,2.0,,,,,sredniaki
tauros,tauros,,,1,red-blue,normal,,Wild Bull,1.4,88.4,0,45.0,172.0,20.0,50.0,slow,75,100,95,40,70,110,,1.0,,,,1.0,sredniaki
tauros-paldean-combat,tauros,paldean-combat,Combat Breed,9,scarlet-violet,fighting,,Wild Bull,1.4,115.0,0,45.0,172.0,20.0,50.0,slow,75,110,105,30,70,100,,2.0,,,,,agresorzy
tauros-paldean-blaze,tauros,paldean-blaze,Blaze Breed,9,scarlet-violet,fighting,fire,Wild Bull,1.4,85.0,0,45.0,172.0,20.0,50.0,slow,75,110,105,30,70,100,,2.0,,,,,agresorzy
tauros-paldean-aqua,tauros,paldean-aqua,Aqua Breed,9,scarlet-violet,fighting,water,Wild Bull,1.4,110.0,0,45.0,172.0,20.0,50.0,slow,75,110,105,30,70,100,,2.0,,,,,agresorzy
magikarp,magikarp,,,1,red-blue,water,,Fish,0.9,10.0,4:4,255.0,40.0,5.0,50.0,slow,20,10,55,15,20,80,,,,,,1.0,sredniaki
gyarados,gyarados,,,1,red-blue,water,flying,Atrocious,6.5,235.0,4:4,45.0,189.0,5.0,50.0,slow,95,125,79,60,100,81,,2.0,,,,,sredniaki
gyarados-mega,gyarados,mega,Mega Gyarados,6,x-y,water,dark,Atrocious,6.5,305.0,4:4,45.0,224.0,5.0,50.0,slow,95,155,109,70,130,81,,2.0,,,,,sredniaki
lapras,lapras,,,1,red-blue,water,ice,Transport,2.5,220.0,4:4,45.0,187.0,40.0,50.0,slow,130,85,80,85,95,60,2.0,,,,,,sredniaki
ditto,ditto,,,1,red-blue,normal,,Transform,0.3,4.0,genderless,35.0,101.0,20.0,50.0,medium fast,48,48,48,48,48,48,1.0,,,,,,sredniaki
eevee,eevee,,,1,red-blue,normal,,Evolution,0.3,6.5,1:7,45.0,65.0,35.0,50.0,medium fast,55,55,50,45,65,55,,,,,1.0,,sredniaki
eevee-lets-go,eevee,lets-go,Partner Eevee,7,lets-go-pikachu-eevee,normal,,Evolution,0.3,6.5,1:7,45.0,65.0,35.0,50.0,medium fast,65,75,70,65,85,75,,,,,1.0,,sredniaki
vaporeon,vaporeon,,,1,red-blue,water,,Bubble Jet,1.0,29.0,1:7,45.0,184.0,35.0,50.0,medium fast,130,65,60,110,95,65,2.0,,,,,,sredniaki
jolteon,jolteon,,,1,red-blue,electric,,Lightning,0.8,24.5,1:7,45.0,184.0,35.0,50.0,medium fast,65,65,60,110,95,130,,,,,,2.0,specjalni
flareon,flareon,,,1,red-blue,fire,,Flame,0.9,25.0,1:7,45.0,184.0,35.0,50.0,medium fast,65,130,60,95,110,65,,2.0,,,,,specjalni
porygon,porygon,,,1,red-blue,normal,,Virtual,0.8,36.5,genderless,45.0,79.0,20.0,50.0,medium fast,65,60,70,85,75,40,,,,1.0,,,sredniaki
omanyte,omanyte,,,1,red-blue,rock,water,Spiral,0.4,7.5,1:7,45.0,71.0,30.0,50.0,medium fast,35,40,100,90,55,35,,,1.0,,,,grubole
omastar,omastar,,,1,red-blue,rock,water,Spiral,1.0,35.0,1:7,45.0,173.0,30.0,50.0,medium fast,70,60,125,115,70,55,,,2.0,,,,grubole
kabuto,kabuto,,,1,red-blue,rock,water,Shellfish,0.5,11.5,1:7,45.0,71.0,30.0,50.0,medium fast,30,80,90,55,45,55,,,1.0,,,,grubole
kabutops,kabutops,,,1,red-blue,rock,water,Shellfish,1.3,40.5,1:7,45.0,173.0,30.0,50.0,medium fast,60,115,105,65,70,80,,2.0,,,,,grubole
aerodactyl,aerodactyl,,,1,red-blue,rock,flying,Fossil,1.8,59.0,1:7,45.0,180.0,35.0,50.0,slow,80,105,65,60,75,130,,,,,,2.0,grubole
aerodactyl-mega,aerodactyl,mega,Mega Aerodactyl,6,x-y,rock,flying,Fossil,2.1,79.0,1:7,45.0,215.0,35.0,50.0,slow,80,135,85,70,95,150,,,,,,2.0,grubole
snorlax,snorlax,,,1,red-blue,normal,,Sleeping,2.1,460.0,1:7,25.0,189.0,40.0,50.0,slow,160,110,65,65,110,30,2.0,,,,,,sredniaki
articuno,articuno,,,1,red-blue,ice,flying,Freeze,1.7,55.4,genderless,3.0,290.0,80.0,35.0,slow,90,85,100,95,125,85,,,,,3.0,,sredniaki
articuno-galarian,articuno,galarian,Galarian Articuno,8,sword-shield,psychic,flying,Cruel,1.7,50.9,genderless,3.0,290.0,120.0,35.0,slow,90,85,85,125,100,95,,,,3.0,,,specjalni
zapdos,zapdos,,,1,red-blue,electric,flying,Electric,1.6,52.6,genderless,3.0,290.0,80.0,35.0,slow,90,90,85,125,90,100,,,,3.0,,,specjalni
zapdos-galarian,zapdos,galarian,Galarian Zapdos,8,sword-shield,fighting,flying,Strong Legs,1.6,58.2,genderless,3.0,290.0,120.0,35.0,slow,90,125,90,85,90,100,,3.0,,,,,agresorzy
moltres,moltres,,,1,red-blue,fire,flying,Flame,2.0,60.0,genderless,3.0,290.0,80.0,35.0,slow,90,100,90,125,85,90,,,,3.0,,,specjalni
moltres-galarian,moltres,galarian,Galarian Moltres,8,sword-shield,dark,flying,Malevolent,2.0,66.0,genderless,3.0,290.0,120.0,35.0,slow,90,85,90,100,125,90,,,,,3.0,,agresorzy
dratini,dratini,,,1,red-blue,dragon,,Dragon,1.8,3.3,4:4,45.0,60.0,40.0,35.0,slow,41,64,45,50,50,50,,1.0,,,,,elita
dragonair,dragonair,,,1,red-blue,dragon,,Dragon,4.0,16.5,4:4,45.0,147.0,40.0,35.0,slow,61,84,65,70,70,70,,2.0,,,,,elita
dragonite,dragonite,,,1,red-blue,dragon,flying,Dragon,2.2,210.0,4:4,45.0,300.0,40.0,35.0,slow,91,134,95,100,100,80,,3.0,,,,,elita
mewtwo,mewtwo,,,1,red-blue,psychic,,Genetic,2.0,122.0,genderless,3.0,340.0,120.0,0.0,slow,106,110,90,154,90,130,,,,3.0,,,specjalni
mewtwo-mega-x,mewtwo,mega-x,Mega Mewtwo X,6,x-y,psychic,fighting,Genetic,2.3,127.0,genderless,3.0,351.0,120.0,0.0,slow,106,190,100,154,100,130,,,,3.0,,,specjalni
mewtwo-mega-y,mewtwo,mega-y,Mega Mewtwo Y,6,x-y,psychic,,Genetic,1.5,33.0,genderless,3.0,351.0,120.0,0.0,slow,106,150,70,194,120,140,,,,3.0,,,specjalni
mew,mew,,,1,red-blue,psychic,,New Species,0.4,4.0,genderless,45.0,300.0,120.0,100.0,medium slow,100,100,100,100,100,100,3.0,,,,,,specjalni
chikorita,chikorita,,,2,gold-silver,grass,,Leaf,0.9,6.4,1:7,45.0,64.0,20.0,50.0,medium slow,45,49,65,49,65,45,,,,,1.0,,sredniaki
bayleef,bayleef,,,2,gold-silver,grass,,Leaf,1.2,15.8,1:7,45.0,142.0,20.0,50.0,medium slow,60,62,80,63,80,60,,,1.0,,1.0,,sredniaki
meganium,meganium,,,2,gold-silver,grass,,Herb,1.8,100.5,1:7,45.0,236.0,20.0,50.0,medium slow,80,82,100,83,100,80,,,1.0,,2.0,,sredniaki
cyndaquil,cyndaquil,,,2,gold-silver,fire,,Fire Mouse,0.5,7.9,1:7,45.0,62.0,20.0,50.0,medium slow,39,52,43,60,50,65,,,,,,1.0,specjalni
quilava,quilava,,,2,gold-silver,fire,,Volcano,0.9,19.0,1:7,45.0,142.0,20.0,50.0,medium slow,58,64,58,80,65,80,,,,1.0,,1.0,specjalni
typhlosion,typhlosion,,,2,gold-silver,fire,,Volcano,1.7,79.5,1:7,45.0,267.0,20.0,50.0,medium slow,78,84,78,109,85,100,,,,3.0,,,specjalni
typhlosion-hisuian,typhlosion,hisuian,Hisuian Typhlosion,8,legends-arceus,fire,ghost,Ghost Flame,1.6,69.8,1:7,45.0,267.0,20.0,50.0,medium slow,73,84,78,119,85,95,,,,3.0,,,specjalni
totodile,totodile,,,2,gold-silver,water,,Big Jaw,0.6,9.5,1:7,45.0,63.0,20.0,50.0,medium slow,50,65,64,44,48,43,,1.0,,,,,sredniaki
croconaw,croconaw,,,2,gold-silver,water,,Big Jaw,1.1,25.0,1:7,45.0,142.0,20.0,50.0,medium slow,65,80,80,59,63,58,,1.0,1.0,,,,sredniaki
feraligatr,feraligatr,,,2,gold-silver,water,,Big Jaw,2.3,88.8,1:7,45.0,239.0,20.0,50.0,medium slow,85,105,100,79,83,78,,2.0,1.0,,,,sredniaki
sentret,sentret,,,2,gold-silver,normal,,Scout,0.8,6.0,4:4,255.0,43.0,15.0,50.0,medium fast,35,46,34,35,45,20,,1.0,,,,,sredniaki
furret,furret,,,2,gold-silver,normal,,Long Body,1.8,32.5,4:4,90.0,145.0,15.0,50.0,medium fast,85,76,64,45,55,90,,,,,,2.0,sredniaki
hoothoot,hoothoot,,,2,gold-silver,normal,flying,Owl,0.7,21.2,4:4,255.0,52.0,15.0,50.0,medium fast,60,30,30,36,56,50,1.0,,,,,,sredniaki
noctowl,noctowl,,,2,gold-silver,normal,flying,Owl,1.6,40.8,4:4,90.0,158.0,15.0,50.0,medium fast,100,50,50,86,96,70,2.0,,,,,,sredniaki
ledyba,ledyba,,,2,gold-silver,bug,flying,Five Star,1.0,10.8,4:4,255.0,53.0,15.0,50.0,fast,40,20,30,40,80,55,,,,,1.0,,sredniaki
ledian,ledian,,,2,gold-silver,bug,flying,Five Star,1.4,35.6,4:4,90.0,137.0,15.0,50.0,fast,55,35,50,55,110,85,,,,,2.0,,sredniaki
spinarak,spinarak,,,2,gold-silver,bug,poison,String Spit,0.5,8.5,4:4,255.0,50.0,15.0,50.0,fast,40,60,40,40,40,30,,1.0,,,,,sredniaki
ariados,ariados,,,2,gold-silver,bug,poison,Long Leg,1.1,33.5,4:4,90.0,140.0,15.0,50.0,fast,70,90,70,60,70,40,,2.0,,,,,sredniaki
crobat,crobat,,,2,gold-silver,poison,flying,Bat,1.8,75.0,4:4,90.0,241.0,15.0,50.0,medium fast,85,90,80,70,80,130,,,,,,3.0,sredniaki
chinchou,chinchou,,,2,gold-silver,water,electric,Angler,0.5,12.0,4:4,190.0,66.0,20.0,50.0,slow,75,38,38,56,56,67,1.0,,,,,,sredniaki
lanturn,lanturn,,,2,gold-silver,water,electric,Light,1.2,22.5,4:4,75.0,161.0,20.0,50.0,slow,125,58,58,76,76,67,2.0,,,,,,sredniaki
pichu,pichu,,,2,gold-silver,electric,,Tiny Mouse,0.3,2.0,4:4,190.0,41.0,10.0,50.0,medium fast,20,40,15,35,35,60,,,,,,1.0,specjalni
cleffa,cleffa,,,2,gold-silver,fairy,,Star Shape,0.3,3.0,6:2,150.0,44.0,10.0,140.0,fast,50,25,28,45,55,15,,,,,1.0,,specjalni
igglybuff,igglybuff,,,2,gold-silver,normal,fairy,Balloon,0.3,1.0,6:2,170.0,42.0,10.0,50.0,fast,90,30,15,40,20,15,1.0,,,,,,sredniaki
togepi,togepi,,,2,gold-silver,fairy,,Spike Ball,0.3,1.5,1:7,190.0,49.0,10.0,50.0,fast,35,20,65,40,65,20,,,,,1.0,,specjalni
togetic,togetic,,,2,gold-silver,fairy,flying,Happiness,0.6,3.2,1:7,75.0,142.0,10.0,50.0,fast,55,40,85,80,105,40,,,,,2.0,,specjalni
natu,natu,,,2,gold-silver,psychic,flying,Tiny Bird,0.2,2.0,4:4,190.0,64.0,20.0,50.0,medium fast,40,50,45,70,45,70,,,,1.0,,,specjalni
xatu,xatu,,,2,gold-silver,psychic,flying,Mystic,1.5,15.0,4:4,75.0,165.0,20.0,50.0,medium fast,65,75,70,95,70,95,,,,1.0,,1.0,specjalni
mareep,mareep,,,2,gold-silver,electric,,Wool,0.6,7.8,4:4,235.0,56.0,20.0,50.0,medium slow,55,40,40,65,45,35,,,,1.0,,,specjalni
flaaffy,flaaffy,,,2,gold-silver,electric,,Wool,0.8,13.3,4:4,120.0,128.0,20.0,50.0,medium slow,70,55,55,80,60,45,,,,2.0,,,specjalni
ampharos,ampharos,,,2,gold-silver,electric,,Light,1.4,61.5,4:4,45.0,255.0,20.0,50.0,medium slow,90,75,85,115,90,55,,,,3.0,,,specjalni
ampharos-mega,ampharos,mega,Mega Ampharos,6,x-y,electric,dragon,Light,1.4,61.5,4:4,45.0,275.0,20.0,50.0,medium slow,90,95,105,165,110,45,,,,3.0,,,specjalni
bellossom,bellossom,,,2,gold-silver,grass,,Flower,0.4,5.8,4:4,45.0,221.0,20.0,50.0,medium slow,75,80,95,90,100,50,,,,,3.0,,sredniaki
marill,marill,,,2,gold-silver,water,fairy,Aqua Mouse,0.4,8.5,4:4,190.0,88.0,10.0,50.0,fast,70,20,50,20,50,40,2.0,,,,,,sredniaki
azumarill,azumarill,,,2,gold-silver,water,fairy,Aqua Rabbit,0.8,28.5,4:4,75.0,210.0,10.0,50.0,fast,100,50,80,60,80,50,3.0,,,,,,sredniaki
sudowoodo,sudowoodo,,,2,gold-silver,rock,,Imitation,1.2,38.0,4:4,65.0,144.0,20.0,50.0,medium fast,70,100,115,30,65,30,,,2.0,,,,grubole
politoed,politoed,,,2,gold-silver,water,,Frog,1.1,33.9,4:4,45.0,225.0,20.0,50.0,medium slow,90,75,75,90,100,70,,,,,3.0,,sredniaki
hoppip,hoppip,,,2,gold-silver,grass,flying,Cottonweed,0.4,0.5,4:4,255.0,50.0,20.0,50.0,medium slow,35,35,40,35,55,50,,,,,1.0,,sredniaki
skiploom,skiploom,,,2,gold-silver,grass,flying,Cottonweed,0.6,1.0,4:4,120.0,119.0,20.0,50.0,medium slow,55,45,50,45,65,80,,,,,,2.0,sredniaki
jumpluff,jumpluff,,,2,gold-silver,grass,flying,Cottonweed,0.8,3.0,4:4,45.0,230.0,20.0,50.0,medium slow,75,55,70,55,95,110,,,,,,3.0,sredniaki
aipom,aipom,,,2,gold-silver,normal,,Long Tail,0.8,11.5,4:4,45.0,72.0,20.0,50.0,fast,55,70,55,40,55,85,,,,,,1.0,sredniaki
sunkern,sunkern,,,2,gold-silver,grass,,Seed,0.3,1.8,4:4,235.0,36.0,20.0,50.0,medium slow,30,30,30,30,30,30,,,,1.0,,,sredniaki
sunflora,sunflora,,,2,gold-silver,grass,,Sun,0.8,8.5,4:4,120.0,149.0,20.0,50.0,medium slow,75,75,55,105,85,30,,,,2.0,,,sredniaki
yanma,yanma,,,2,gold-silver,bug,flying,Clear Wing,1.2,38.0,4:4,75.0,78.0,20.0,50.0,medium fast,65,65,45,75,45,95,,,,,,1.0,sredniaki
wooper,wooper,,,2,gold-silver,water,ground,Water Fish,0.4,8.5,4:4,255.0,42.0,20.0,50.0,medium fast,55,45,45,25,25,15,1.0,,,,,,sredniaki
wooper-paldean,wooper,paldean,Paldean Wooper,9,scarlet-violet,poison,ground,Poison Fish,0.4,11.0,4:4,255.0,42.0,20.0,50.0,medium fast,55,45,45,25,25,15,1.0,,,,,,sredniaki
quagsire,quagsire,,,2,gold-silver,water,ground,Water Fish,1.4,75.0,4:4,90.0,151.0,20.0,50.0,medium fast,95,85,85,65,65,35,2.0,,,,,,sredniaki
espeon,espeon,,,2,gold-silver,psychic,,Sun,0.9,26.5,1:7,45.0,184.0,35.0,50.0,medium fast,65,65,60,130,95,110,,,,2.0,,,specjalni
umbreon,umbreon,,,2,gold-silver,dark,,Moonlight,1.0,27.0,1:7,45.0,184.0,35.0,35.0,medium fast,95,65,110,60,130,65,,,,,2.0,,agresorzy
murkrow,murkrow,,,2,gold-silver,dark,flying,Darkness,0.5,2.1,4:4,30.0,81.0,20.0,35.0,medium slow,60,85,42,85,42,91,,,,,,1.0,agresorzy
slowking,slowking,,,2,gold-silver,water,psychic,Royal,2.0,79.5,4:4,70.0,172.0,20.0,50.0,medium fast,95,75,80,100,110,30,,,,,2.0,,sredniaki
slowking-galarian,slowking,galarian,Galarian Slowking,8,sword-shield,poison,psychic,Hexpert,1.8,79.5,4:4,70.0,172.0,20.0,50.0,medium fast,95,65,80,110,110,30,,,,,2.0,,sredniaki
misdreavus,misdreavus,,,2,gold-silver,ghost,,Screech,0.7,1.0,4:4,45.0,87.0,25.0,35.0,fast,60,60,60,85,85,85,,,,,1.0,,specjalni
unown,unown,,,2,gold-silver,psychic,,Symbol,0.5,5.0,genderless,225.0,118.0,40.0,50.0,medium fast,48,72,48,72,48,48,,1.0,,1.0,,,specjalni
wobbuffet,wobbuffet,,,2,gold-silver,psychic,,Patient,1.3,28.5,4:4,45.0,142.0,20.0,50.0,medium fast,190,33,58,33,58,33,2.0,,,,,,specjalni
girafarig,girafarig,,,2,gold-silver,normal,psychic,Long Neck,1.5,41.5,4:4,60.0,159.0,20.0,50.0,medium fast,70,80,65,90,65,85,,,,2.0,,,sredniaki
pineco,pineco,,,2,gold-silver,bug,,Bagworm,0.6,7.2,4:4,190.0,58.0,20.0,50.0,medium fast,50,65,90,35,35,15,,,1.0,,,,sredniaki
forretress,forretress,,,2,gold-silver,bug,steel,Bagworm,1.2,125.8,4:4,75.0,163.0,20.0,50.0,medium fast,75,90,140,60,60,40,,,2.0,,,,sredniaki
dunsparce,dunsparce,,,2,gold-silver,normal,,Land Snake,1.5,14.0,4:4,190.0,145.0,20.0,50.0,medium fast,100,70,70,65,65,45,1.0,,,,,,sredniaki
gligar,gligar,,,2,gold-silver,ground,flying,FlyScorpion,1.1,64.8,4:4,60.0,86.0,20.0,50.0,medium slow,65,75,105,35,65,85,,,1.0,,,,grubole
steelix,steelix,,,2,gold-silver,steel,ground,Iron Snake,9.2,400.0,4:4,25.0,179.0,25.0,50.0,medium fast,75,85,200,55,65,30,,,2.0,,,,grubole
steelix-mega,steelix,mega,Mega Steelix,6,omega-ruby-alpha-sapphire,steel,ground,Iron Snake,10.5,740.0,4:4,25.0,214.0,25.0,50.0,medium fast,75,125,230,55,95,30,,,2.0,,,,grubole
snubbull,snubbull,,,2,gold-silver,fairy,,Fairy,0.6,7.8,6:2,190.0,60.0,20.0,50.0,fast,60,80,50,40,40,30,,1.0,,,,,specjalni
granbull,granbull,,,2,gold-silver,fairy,,Fairy,1.4,48.7,6:2,75.0,158.0,20.0,50.0,fast,90,120,75,60,60,45,,2.0,,,,,specjalni
qwilfish,qwilfish,,,2,gold-silver,water,poison,Balloon,0.5,3.9,4:4,45.0,88.0,20.0,50.0,medium fast,65,95,85,55,55,85,,1.0,,,,,sredniaki
qwilfish-hisuian,qwilfish,hisuian,Hisuian Qwilfish,8,legends-arceus,dark,poison,Balloon,0.5,3.9,4:4,45.0,88.0,20.0,50.0,medium fast,65,95,85,55,55,85,,1.0,,,,,agresorzy
scizor,scizor,,,2,gold-silver,bug,steel,Pincer,1.8,118.0,4:4,25.0,175.0,25.0,50.0,medium fast,70,130,100,55,80,65,,2.0,,,,,sredniaki
scizor-mega,scizor,mega,Mega Scizor,6,x-y,bug,steel,Pincer,2.0,125.0,4:4,25.0,210.0,25.0,50.0,medium fast,70,150,140,65,100,75,,2.0,,,,,sredniaki
shuckle,shuckle,,,2,gold-silver,bug,rock,Mold,0.6,20.5,4:4,190.0,177.0,20.0,50.0,medium slow,20,10,230,10,230,5,,,1.0,,1.0,,sredniaki
heracross,heracross,,,2,gold-silver,bug,fighting,Single Horn,1.5,54.0,4:4,45.0,175.0,25.0,50.0,slow,80,125,75,40,95,85,,2.0,,,,,sredniaki
heracross-mega,heracross,mega,Mega Heracross,6,x-y,bug,fighting,Single Horn,1.7,62.5,4:4,45.0,210.0,25.0,50.0,slow,80,185,115,40,105,75,,2.0,,,,,sredniaki
sneasel,sneasel,,,2,gold-silver,dark,ice,Sharp Claw,0.9,28.0,4:4,60.0,86.0,20.0,35.0,medium slow,55,95,55,35,75,115,,,,,,1.0,agresorzy
sneasel-hisuian,sneasel,hisuian,Hisuian Sneasel,8,legends-arceus,fighting,poison,Sharp Claw,0.9,27.0,4:4,60.0,86.0,20.0,35.0,medium slow,55,95,55,35,75,115,,,,,,1.0,agresorzy
teddiursa,teddiursa,,,2,gold-silver,normal,,Little Bear,0.6,8.8,4:4,120.0,66.0,20.0,50.0,medium fast,60,80,50,50,50,40,,1.0,,,,,sredniaki
ursaring,ursaring,,,2,gold-silver,normal,,Hibernator,1.8,125.8,4:4,60.0,175.0,20.0,50.0,medium fast,90,130,75,75,75,55,,2.0,,,,,sredniaki
slugma,slugma,,,2,gold-silver,fire,,Lava,0.7,35.0,4:4,190.0,50.0,20.0,50.0,medium fast,40,40,40,70,40,20,,,,1.0,,,specjalni
magcargo,magcargo,,,2,gold-silver,fire,rock,Lava,0.8,55.0,4:4,75.0,151.0,20.0,50.0,medium fast,60,50,120,90,80,30,,,2.0,,,,specjalni
swinub,swinub,,,2,gold-silver,ice,ground,Pig,0.4,6.5,4:4,225.0,50.0,20.0,50.0,slow,50,50,40,30,30,50,,1.0,,,,,sredniaki
piloswine,piloswine,,,2,gold-silver,ice,ground,Swine,1.1,55.8,4:4,75.0,158.0,20.0,50.0,slow,100,100,80,60,60,50,1.0,1.0,,,,,sredniaki
corsola,corsola,,,2,gold-silver,water,rock,Coral,0.6,5.0,6:2,60.0,144.0,20.0,50.0,fast,65,55,95,65,95,35,,,1.0,,1.0,,sredniaki
corsola-galarian,corsola,galarian,Galarian Corsola,8,sword-shield,ghost,,Coral,0.6,0.5,6:2,60.0,144.0,20.0,50.0,fast,60,55,100,65,100,30,,,,,1.0,,specjalni
remoraid,remoraid,,,2,gold-silver,water,,Jet,0.6,12.0,4:4,190.0,60.0,20.0,50.0,medium fast,35,65,35,65,35,65,,,,1.0,,,sredniaki
octillery,octillery,,,2,gold-silver,water,,Jet,0.9,28.5,4:4,75.0,168.0,20.0,50.0,medium fast,75,105,75,105,75,45,,1.0,,1.0,,,sredniaki
delibird,delibird,,,2,gold-silver,ice,flying,Delivery,0.9,16.0,4:4,45.0,116.0,20.0,50.0,fast,45,55,45,65,45,75,,,,,,1.0,sredniaki
mantine,mantine,,,2,gold-silver,water,flying,Kite,2.1,220.0,4:4,25.0,170.0,25.0,50.0,slow,85,40,70,80,140,70,,,,,2.0,,sredniaki
skarmory,skarmory,,,2,gold-silver,steel,flying,Armor Bird,1.7,50.5,4:4,25.0,163.0,25.0,50.0,slow,65,80,140,40,70,70,,,2.0,,,,grubole
houndour,houndour,,,2,gold-silver,dark,fire,Dark,0.6,10.8,4:4,120.0,66.0,20.0,35.0,slow,45,60,30,80,50,65,,,,1.0,,,agresorzy
houndoom,houndoom,,,2,gold-silver,dark,fire,Dark,1.4,35.0,4:4,45.0,175.0,20.0,35.0,slow,75,90,50,110,80,95,,,,2.0,,,agresorzy
houndoom-mega,houndoom,mega,Mega Houndoom,6,x-y,dark,fire,Dark,1.9,49.5,4:4,45.0,210.0,20.0,35.0,slow,75,90,90,140,90,115,,,,2.0,,,agresorzy
kingdra,kingdra,,,2,gold-silver,water,dragon,Dragon,1.8,152.0,4:4,45.0,243.0,20.0,50.0,medium fast,75,95,95,95,95,85,,1.0,,1.0,1.0,,sredniaki
phanpy,phanpy,,,2,gold-silver,ground,,Long Nose,0.5,33.5,4:4,120.0,66.0,20.0,50.0,medium fast,90,60,60,40,40,40,1.0,,,,,,grubole
donphan,donphan,,,2,gold-silver,ground,,Armor,1.1,120.0,4:4,60.0,175.0,20.0,50.0,medium fast,90,120,120,60,60,50,,1.0,1.0,,,,grubole
porygon2,porygon2,,,2,gold-silver,normal,,Virtual,0.6,32.5,genderless,45.0,180.0,20.0,50.0,medium fast,85,80,90,105,95,60,,,,2.0,,,sredniaki
stantler,stantler,,,2,gold-silver,normal,,Big Horn,1.4,71.2,4:4,45.0,163.0,20.0,50.0,slow,73,95,62,85,65,85,,1.0,,,,,sredniaki
